name;type;alignment;ac;armor_type;hit_points;hit_die;speed;str;dex;con;int;wis;cha;save_throws;skills;dam_resist;dam_immune;cond_immune;senses;language;challenge;xp;none;actions;leg_actions;abilities
Chuul; Large aberation; chaotic evil; 16; natural armor; 93; 11d10 + 33; 30ft., swim 30ft.; 19; 10; 16; 5; 11; 5; ; Perception +4; ; poison; poisoned; darkvision 60ft., passive Perception 14; understands Deep Speech but can't speak; 4; 1100; ; Multiattack. The chuul makes two pincer attacks. If the chuul is grappling a creature, the chuul can also use its tentacles once.<br><br>Pincer. Melee Weapon Attack: +6 to hit, reach 10ft., one target . Hit: 11 (2d6 + 4) bludgeoning damage. The target is grappled (escape DC 14) if it is a Large or smaller creature and the chuul doesn't have two other creatures grappled.<br><br>Tentacles. One creature grappled by the chuul must succeed on a DC 13 Constitution saving throw or be poisoned for 1 minute. Until this poison ends, the target is paralyzed. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.; ; Amphibious. The chuul can breathe air and water.<br>Sense Magic. The chuul senses magic within 120 feet of it at will. This trait otherwise works like the detect magic spell but isn't itself magical.
Cloaker; Large aberration; chaotic neutral; 14; natural armor; 78; 12d10 + 12; 10ft., fly 40ft.; 17; 15; 12; 13; 12; 14; ; Stalth +5; ; ; ; darkvision 60ft., passive Perception 11; Deep Speech, Undercommon; 8; 3900; ; Multiattack. The cloaker makes two attacks: one with its bite and one with its tail.<br><br>Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one creature.<br><br>Hit: 10 (2d6 + 3) piercing damage, and if the target is Large or smaller, the cloaker attaches to it. If the cloaker has advantage against the target, the cloaker attaches to the target's head, and the target is blinded and unable to breathe while the cloaker is attached. While attached, the cloaker can make this attack only against the target and has advantage on the attack roll. The cloaker can detach itself by spending 5 feet of its movement. A creature, including the target, can take its action to detach the cloaker by succeeding on a DC 16 Strength check.<br><br>Tail. Melee Weapon Attack: +6 to hit, reach 10ft., one creature. Hit: 7 (1d8 + 3) slashing damage.<br><br>Moan. Each creature within 60 feet of the cloaker that can hear its moan and that isn't an aberration must succeed on a DC 13 Wisdom saving throw or become frightened until the end of the cloaker's next turn. If a creature's saving throw is successful, the creature is immune to the cloaker's moan for the next 24 hours<br><br>Phantasms (Recharges after a Short or Long Rest). The cloaker magically creates three illusory duplicates of itself if it isn't in bright light. The duplicates move with it and mimic its actions, shifting position so as to make it impossible to track which cloaker is the real one. If the cloaker is ever in an area of bright light, the duplicates disappear. Whenever any creature targets the cloaker with an attack or a harmful spell while a duplicate remains, that creature rolls randomly to determine whether it targets the cloaker or one of the duplicates. A creature is unaffected by this magical effect if it can't see or if it relies on senses other than sight. A duplicate has the cloaker's AC and uses its saving throws. If an attack hits a duplicate, or if a duplicate fails a saving throw<br>against an effect that deals damage, the duplicate disappears.; ; Damage Transfer. While attached to a creature, the cloaker takes only half the damage dealt to it (rounded down). and that creature takes the other half.<br>False Appearance. While the cloaker remains motionless<br>without its underside exposed, it is indistinguishable from a<br>dark leather cloak.<br>Light Sensitivity. While in bright light, the cloaker has<br>disadvantage on attack rolls and Wisdom (Perception) checks that rely on sight.
Couatl; Medium celestial; lawful good; 19; natural armor; 97; 13d8 + 39; 30ft., fly 90ft.; 16; 20; 17; 18; 20; 18; Con +5, Wis +7, Cha +6; ; radiant; psychic, bludgeoning, piercing, and slashing from non magical weapons; ; truesight 120ft., passive Perception 15; all, telepathy 120ft.; 4; 1100; ; Bite. Melee Weapon Attack: +8 to hit, reach 5 ft., one creature. Hit: 8 (1d6 + 5) piercing damage, and the target must succeed on a DC 13 Constitution saving throw or be poisoned for 24 hours. Until this poison ends, the target is unconscious. Another creature can use an action to shake the target awake.<br>Constrict. Melee Weapon Attack: +6 to hit, reach 10ft., one Medium or smaller creature. Hit: 10 (2d6 + 3) bludgeoning damage, and the target is grappled (escape DC 15). Until this grapple ends, the target is restrained, and the couatl can't constrict another target.<br>Change Shape. The couatl magically polymorphs into a humanoid or beast that ha s a challenge rating equal to or less than its own, or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the couatl's choice). In a new form, the couatl retains its game statistics and ability to speak, but its AC, movement modes, Strength, Dexterity, and other actions are replaced by those of the new form, and it gains any statistics and capabilities (except class features, legendary actions, and lair actions) that the new form has but that it lacks . If the new form has a bite attack, the couatl can use its bite in that form.; ; Innate Spellcasting. The couatl's spellcasting ability is<br>Charisma (spell save DC 14). It can innately cast the following spells, requiring only verbal components:<br>At will: detect evil and good, detect magic, detect thoughts<br>3/day each: bless, create food and water, cure wounds, lesser restoration, protection from poison, sanctuary, shield 1/day each: dream, greater restoration , scrying<br>Magic Weapons. The couatl's weapon attacks are magical.<br>Shielded Mind. The couatl is immune to scrying and to any<br>effect that would sense its emotions, read its thoughts, or<br>detect its location.
Cyclops; Huge giant; chaotic neutral; 14; natural armor; 138; 12d12 + 60; 30ft.; 22; 11; 20; 8; 6; 10; ; ; ; ; ; passive Perception 8; Giant; 6; 2300; ; Multiattack. The cyclops makes two greatclub attacks.<br><br>Greatclub. Melee Weapon Attack: +9 to hit , reach 10ft. , one target. Hit: 19 (3d8 + 6) bludgeoning damage .<br><br>Rock. Ranged Weapon Attack: +9 to hit, range 30/120 ft. , one target. Hit: 28 (4d10 + 6) bludgeoning damage.; ; Poor Depth Perception. The cyclops ha s disadvantage on a ny attack roll against a target more than 30 feet away
Darkmantle; Small monstrosity; unaligned; 11; ; 22; 5d6 + 5; 10ft., fly 30ft.; 16; 12; 13; 2; 10; 5; ; Stealth +3; ; ; ; blindsight 60ft., passive Perception 10; ; 1/2; 100; ; Crush. Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 6 (ld6 + 3) bludgeoning damage, and the darkmantle attaches to the target. If the target is Medium or smaller and the darkmantle has advantage on the attack roll, it attaches by engulfing the target's head, and the target is also blinded and unable to breathe while the darkmantle is attached in this way. While attached to the target, the darkmantle can attack no other creature except the target but has advantage on its attack rolls. The darkmantle's speed also becomes 0, it can't benefit from any bonus to its speed, and it moves with the target. A creature can detach the dark mantle by making a successful DC 13 Strength check as an action. On its turn, the darkmantle can detach itself from the target by using 5 feet of movement.<br>Darkness Aura (1/Day). A 15-foot radius of magical darkness extends out from the darkmantle, moves with it, and spreads around corners. The darkness lasts as long as the darkmantle<br>maintains concentration, up to 10 minutes (as if concentrating on a spell). Darkvision can't penetrate this darkness, and no natural light can illuminate it. If any of the darkness overlaps with an area of light created by a spell of 2nd level or lower, the spell creating the light is dispelled.; ; Echolocation. The darkmantle can't use its blindsight<br>while deafened.<br><br>False Appearance. While the darkmantle remains motionless, it is indistinguishable from a cave formation such as a stalactite or stalagmite.
Death Knight; Medium undead; chaotic evil; 20; plate, shielf; 180; 19d8 + 95; 30ft.; 20; 11; 20; 12; 16; 18; Dex +6, Wi s +9, Cha +10; ; ; necrotic, poison; exhaustion , frightened , poisoned; darkvision 120ft. , passive Perception 13; Abyssal , Common; 17; 18000; ; Multiattack. The death knight makes three longsword attacks .<br><br>Longsword. Melee Weapon Attack: +11 to hit, reach 5 ft. ,<br>one target. Hit: 9 (1d8 + 5) slashing damage, or 10 (1d10 + 5) slashing damage if used with two hands, plus 18 (4d8) necrotic damage.<br>Hellfire Orb (1JDay). The death knight hurls a magical ball of fire that explodes at a point it can see within 120 feet of it. Each creature in a 20 -foot radius sphere centered on that point must make a DC 18 Dexterity saving throw. The sphere spreads around corners. A creature takes 35 (10d6) fire damage and 35 (10d6) necrotic damage on a failed save, or half as much damage on a successful one.<br><br>REACTIONS<br>Parry. The death knight add s 6 to its AC against one melee attack that would hit it. To do so, the death knight must see the attacker and be wielding a melee weapon.; ; Magic Resistance. Th e death knight has advantage on saving throws against spells and other magical effects.<br>Marshal Undead. Unless the death knight is incapacitated, it and undead creatures of its choice within 60 feet of it have advantage o n saving throws again st features that turn undead.<br><br>Spellcasting. The death knight is a 19th-level spell caster. Its spellcasting ability is Charisma (spell save DC 18, +10 to hit with spell attacks). It has the following paladin spells prepared:<br><br>1st level (4 slots): command, compelled duel, searing smite<br>2nd level (3 slots): hold person , magic weapon<br>3rd level (3 slots) : dispel magic, elemental weapon<br>4th level (3 slots): banishment, staggering smite<br>5th level (2 slots): destructive wave (necrotic
Balor; Huge fiend (demon); chaotic evil; 19; natural armor; 262; 21d12 + 126; 40ft., fly 80ft.; 26; 15; 22; 10; 16; 22; Str +14, Con +12, Wis +9, Cha +12; ; cold , lightning, bludgeoning, piercing, and slashing from non magical weapons; fire, poison; poisoned; truesight 120ft., passive Perception 13; Abyssal, telepathy 120ft.; 19; 22000; ; Multiattack. The balor makes two attacks: one with its longsword and one with its whip.<br><br>Longsword. Melee Weapon Attack:+ 14 to hit, reach 10ft.,<br>one target. Hit: 21 (3d8 + 8) slashing damage plus 13 (3d8) lightning damage. If the balor scores a critical hit, it rolls damage dice three times, instead of twice.<br><br>Whip. Melee Weapon Attack: +14 to hit, reach 30ft., one target. Hit: 15 (2d6 + 8) slashing damage plus 10 (3d6) fire damage, and the target must succeed on a DC 20 Strength saving throw or be pulled up to 25 feet toward the balor.<br><br>Teleport. The balor magically teleports, along with any equipment it is wearing or carrying, up to 120 feet to an unoccupied space it can see .; ; Death Throes. When the balor dies, it explodes, and each creature within 30 feet of it must make a DC 20 Dexterity saving throw, taking 70 (20d6) fire damage on a failed save, or half as much damage on a successful one. The explosion ignites flammable objects in that area that aren't being worn or carried, and it destroys the balor's weapons.<br><br>Fire Aura. At the start of each of the balor's turns , each creature within 5 feet of it takes 10 (3d6) fire damage, and flammable objects in the aura that aren't being worn or carried ignite. A creature that touches the balor or hits it with a melee attack while within 5 feet of it takes 10 (3d6) fire damage.<br><br>Magic Resistance. The balor has advantage on saving throws<br>against spells and other magical effects.<br><br>Magic Weapons. The balor's weapon attacks are magical.
Barlgura; Large fiend (demon); chaotic evil; 15; natural armor; 68; 8d10 + 24; 30ft., climb 30ft.; 18; 15; 16; 7; 14; 9; Dex +5, Con +6; Perception +5, Stealth +5; cold, fire , lightning; poison; poisoned; blindsight 30ft., darkvision 120ft., passive Perception 15; Abyssal, telepathy 120 ft .; 5; 1800; ; Multiattack. The barlgura makes three attacks: one with its<br>bite and two with its fists.<br><br>Bite. Melee Weapon Attack: +7 to hit, reach 5 ft., one<br>target. Hit: 11 (2d6 + 4) piercing damage.<br><br>Fist. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 9 (1d10 + 4) bludgeoning damage.; ; Innate Spellcasting. The barlgura's spellcasting ability is<br>Wisdom (spell save DC 13) . The barlgura can innately cast the following spells, requiring no material components:<br><br>1/day each: entangle, phantasmal force<br>2/day each: disguise self, invisibility (self only)<br><br>Reckless. At the start of its turn, the barlgura can gain<br>advantage on all melee weapon attack rolls it makes during that turn, but attack rolls against it have advantage until the start of its next turn.<br><br>Running Leap. The barlgura's long jump is up to 40 feet and its high jump is up to 20 feet when it has a running start.
Chasme; Large fiend (demon); chaotic evil; 15; natural armor; 84; 13d10 + 13; 20ft., fly 60ft.; 15; 15; 12; 11; 14; 10; Dex +5, Wis +5; Perception +5; cold, fire , lightning; poison; poisoned; blindsight 10ft., darkvision 120ft., passive Perception 15; Abyssal, telepathy 120ft.; 6; 2300; ; Proboscis. Melee Weapon Attack: +5 to hit, reach 5 ft ., one creature . Hit: 16 (4d6 + 2) piercing damage plus 24 (7d6) necrotic damage, and the target's hit point maximum is reduced by an amount equal to the necrotic damage taken. If this effect reduces a creature's hit point maximum to 0, the creature dies. This reduction to a creature's hit point maximum lasts until the creature finishes a long rest or until it is affected by a spell like greater restoration.; ; Drone. The chasme produces a horrid droning sound to<br>which demons are immune. Any other creature that starts its turn with in 30 feet of the chasme must succeed on a DC 12 Constitution saving throw or fall unconscious for 10 minutes. A creature that can't hear the drone automaticall y succeeds on the save . The effect on the creature ends if it takes damage or if another creature takes an action to splash it with holy water. If a creature's saving throw is successfu l or the effect ends for it, it is immune to the drone for the next 24 hours.<br><br>Magic Resistance. The chasme has advantage on saving throws against spells and other magical effects.<br><br>Spider Climb. The chasme can climb difficult surfaces,<br>including upside down on ceilings, without needing to make an ability check.
Dretch; Small fiend (demon); chaotic evil; 11; natural armor; 18; 4d6 + 4; 20ft; 11; 11; 12; 5; 8; 3; ; ; cold , fire , li ghtn ing; poison; poisoned; darkvision 60ft., passive Perception 9; Abyssal, telepathy 60ft. (works only with creatures that understand Abyssal); 1/4; 50; ; Multiattack. The dretch makes two attacks : one with its bite and one with its claws.<br><br>Bite. Melee Weapon Attack: +2 to hit, reach 5 ft ., one target. Hit: 3 (1d6) piercing damage.<br><br>Claws. Melee Weapon Attack: +2 to hit , reach 5 ft., one target. Hit: 5 (2d4) slas hin g damage.<br><br>Fetid Cloud (1/Day). A 10-foot radius of disgusting green gas extends out from the dretch . The gas spreads around corners, and its area is lightly obscured . It lasts for 1 minute or until a strong wind disperses it. Any creature that starts its turn in that area must succeed on a DC 11 Constitution saving throw or be poisoned until the start of its next turn . While poisoned in this way, the target can take either an action or a bonus action on its turn, not both, and can 't take reactions .; ; 
Glabrezu; Large fiend (demon); chaotic evil; 17; natural armor; 157; 15d10 + 75; 40ft.; 20; 15; 21; 19; 17; 16; Str +9, Con +9, Wis +7, Cha +7; ; cold, fire, lightning, bludgeoning, piercing, and slashing from non magical weapons; poison; poisoned; truesight 120ft., passive Perception 13; Abyssa l, telepathy 120ft.; 9; 5000; ; Multiattack. The glabrezu makes four attacks: two with its<br>pincers and two with its fist s. Alternatively, it makes two<br>attacks with its pincers and casts one spell. <br><br>Pincer. Melee Weapon Attack: +9 to hit, reach 10ft., one<br>target. Hit: 16 (2d10 + 5) bludgeoning damage. If the target is a Medium or smaller creature, it is grappled (escape DC 15). The glabrezu has two pincers, each of which can grapple only one target.<br><br>Fist. Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 7 (2d4 + 2) bludgeoning damage.; ; Innate Spellcasting. The glabrezu's spellcasting ability is<br>Intelligence (spell save DC 16). The glabrezu can innately cast the following spells, requiring no material components:<br>At will: darkness, detect magic, dispel magic<br>1/day each: confusion,fly, power word stun<br><br>Magic Resistance. The glabrezu has advantage on saving<br>throws against spells and other magical effects .
Goristro; Huge fiend (demon); chaotic evil; 19; natural armor; 310; 23d161; 40ft; 25; 11; 25; 6; 13; 14; Str +13, Dex +6, Con +13, Wis +7; Perception +7; cold, fi re, lightning, bludgeoning, piercin g, and slashing from non magical weapons; poison; poisoned; darkvision 120 ft ., passive Perception 17; Abyssal; 17; 18000; ; Multiattack. The goristro makes three attacks: two with its<br>fists and one with its hoof.<br><br>Fist. Melee Weapon Attack: +13 to hit, reach 10ft., one target. Hit: 20 (3d8 + 7) bludgeoning damage.<br><br>Hoof Melee Weapon Attack: + 13 to hit, reach 5 ft., one target. Hit: 23 (3d10 + 7) bludgeoning damage . If the target is a creature, it must succeed on a DC 21 Strength saving throw or be knocked prone.<br><br>Gore. Melee Weapon Attack: +13 to hit, reach 10ft., one target. Hit: 45 (7dl0 + 7) piercing damage.; ; Charge. If the goristro moves at least 15 feet straight toward a target and then hits it with a gore attack on the same turn, the target takes an extra 38 (7d10) piercing damage. If the target is a creature, it must succeed on a DC 21 Strength saving throw or be pushed up to 20 feet away and knocked prone.<br><br>Labyrinthine Recall. The goristro can perfectly recall any path it has traveled.<br><br>Magic Resistance. The goristro has advantage on saving throws against spells and other magical effects .<br><br>Siege Monster. The goristro deals double damage to objects and structures .
Hezrou; Large fiend; chaotic evil; 16; natural armor; 136; 13d10 + 65; 30ft.; 19; 17; 20; 5; 12; 13; Str +7, Con +8 , Wis +4; ; cold , fire , lightning, bludgeoning, piercing, and slashing from non magical weapons; poison; poisoned; darkvision 120 ft ., passive Perception 11; Abyssal , telepathy 120 ft .; 8; 3900; ; Multiattack. The hezrou makes three attacks: one with its bite and two with its claws .<br><br>Bite. Melee Weapon Attack: +7 to hit , reach 5 ft., one target. Hit : 15 (2d10 + 4) piercing damage.<br><br>Claw. Melee Weapon Attack: +7 to hit , reach 5 ft., one target. Hit : 11 (2d6 + 4) slashing damage.; ; Magic Resistance. The hezrou has advantage on saving throws against spells and other magical effects .<br>Stench. An y creature that starts its turn within 10 feet of the hezrou must succeed on a DC 14 Constitution saving throw or be poisoned until the start of its next turn. On a successful saving throw, the creature is immune to the hezrou's stench for 24 hours.
Manes; Small fiend (demon); chaotic evil; 9; ; 9; 2d6+2; 20ft; 10; 9; 13; 3; 8; 4; ; ; cold, fire , lightning; poison; charmed , frightened , poisoned; darkvision 60ft., passive Perception 9; understands Abyssal but can't speak; 1/8; 25; ; Claws. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 5 (2d4) slashing damage.; ; 
Marilith; Large fiend (demon); chaotic evil; 18; natural armor; 189; 18+10 + 90; 40ft.; 18; 20; 20; 18; 16; 20; Str +9, Con +10, Wi s +8, Cha +10; ; cold, fire, lightning, bludgeoning, piercing, and slashing from non magical weapon s; poison; poisoned; truesight 120ft., passive Perception 13; Abyssal, telepathy 120ft.; 16; 15000; ; Multiattack. The marilith makes seven attacks: six with its<br>longswords and one with its tail.<br><br>Longsword. Melee Weapon Attack: +9 to hit, reach 5 ft. , one target. Hit: 13 (2d8 + 4) slashing damage.<br><br>Tail. Melee Weapon Attack: +9 to hit, reach 10ft., one creature . Hit: 15 (2d10 + 4) bludgeoning damage. If the target is Medium or smaller, it is grappled (escape DC 19). Until this grapple ends , the target is restrained, the marilith can automatically hit the target with its tail, and the marilith can't make tail attacks against other targets.<br><br>Teleport . The marilith magically teleports, along with any equipment it is wearing or carrying, up to 120 feet to an unoccupied space it can see.<br><br>REACTIONS<br>Parry. The marilith adds 5 to its AC against one melee attack that would hit it. To do so, the marilith must see the attacker and be wielding a melee weapon .; ; Magic Resistance. The marilith has advantage on saving throws against spells and other magical effects.<br><br>Magic Weapons. The marilith's weapon attacks are magical.<br><br>Reactive. The marilith can take one reaction on every turn in a combat.
Nalfshenee; Large fiend (demon); chaotic evil; 18; natural armor; 184; 16d10 + 96; 20ft., fly 30ft.; 21; 10; 22; 19; 12; 15; Con +11, lnt +9, Wis +6, Cha +7; ; cold, fire , lightning, bludgeoning, piercing, and slashing from non magical weapons; poison; poisoned; truesight 120 ft. , passive Perception 11; Abyssal, telepathy 120ft.; 13; 10000; ; Multiattack. The nalfeshnee uses Horror Nimbus if it can.<br>It then makes three attacks : one with its bite and two with its claws.<br><br>Bite. Melee Weapon Attack: +10 to hit, reach 5 ft., one target. Hit: 32 (5d10 + 5) piercing damage.<br><br>Claw. Melee Weapon Attack: +10 to hit, reach 10ft., one target. Hit: 15 (3d6 + 5) slashing damage.<br><br>Horror Nimbus (Recharge 5-6). The nalfeshnee magically<br>emits scintillating, multicolored light. Each creature within 15 feet of the nalfeshnee that can see the light must succeed on a DC 15 Wisdom saving throw or be frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success . If a creature's saving throw is successful or the effect ends for it, the creature is immune to the nalfeshnee's Horror Nimbus for the next 24 hours.<br><br>Teleport. The nalfeshnee magically teleports, along with<br>any equipment it is wearing or carrying, up to 120 feet to an unoccupied space it can see.; ; Magic Resistance. The nalfeshnee has advantage on saving throws against spells and other magical effects.
Quaist; Tiny fiend (demon, shapechanger); chaotic evil; 13; ; 7; 3d4; 40ft.; 5; 17; 10; 7; 10; 10; Stealth +5; ; cold , fire, lightning, bludgeoning, piercing, and slashing from non magical weapons; poison; poisoned; darkvision 120 ft ., passive Perception 10; Abyssal, Common; 1; 200; ; Claws (Bite in Beast Form). Melee Weapon Attack: +4 to hit, reach 5 ft ., one target. Hit: 5 (1d4 + 3) piercing damage, and the target must succeed on a DC 10 Constitution saving throw or take 5 (2d4) poison damage and become poisoned for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.<br><br>Scare (1/Day). One creature oft he quasit's choice within 20 feet of it must succeed on a DC 10 Wisdom saving throw or be frightened for 1 minute. The target can repeat the saving throw at the end of each of its turns, with disadvantage if the quasitis within line of sight, ending the effect on itself on a success .<br><br>Invisibility. The quasit magically turns invisible until it<br>attacks or uses Scare, or until its concentration ends (as if concentrating on a spell) . Any equipment the quasit wears or carries is invisible with it.; ; Shapechanger. The quasit can use its action to polymorph into a beast form that resembles a bat (speed 10ft. fly 40ft.), a centipede (40ft., climb 40ft.), or a toad (40ft. , swim 40ft.), or back into its true form . Its statistics are the same in each form , except for the speed changes noted. Any equipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies.<br><br>Magic Resistance. The quasit has advantage on saving throws against spells and other magical effects.
Shadow Demon; Medium fiend (demon); chaotic evil; 13; ; 66; 12d8 +12; 30ft., fly 30ft.; 1; 17; 12; 14; 13; 14; Dex +5 , Cha +4; Stealth +7; acid, fire , necrotic, thunder, bludgeoning, pie rcing, and slashing from non magical weapons; cold, lightning, poison; exhaustion, grappled, para lyzed, petrified, poisoned , prone, restrained; darkvision 120ft., passive Perception 11; Abyssal, telepathy 120ft.; 4; 1100; ; Claws. Melee Weapon Attack: +5 to hit, reach 5 ft., one<br>creature. Hit: 10 (2d6 + 3) psychic damage or, if the demon had advantage on the attack roll, 17 (4d6 + 3) psychic damage.; ; Damage Vulnerabilities: radiant<br><br>Incorporeal Movement. The demon can move through other creatures and objects as if they were difficult terrain. It takes 5 (1d10) force damage if it ends its turn inside an object.<br><br>Light Sensitivity. While in bright light, the demon has<br>disadvantage on attack rolls, as well as on Wisdom<br>(Perception) checks that rely on sight.<br><br>Shadow Stealth. While in dim light or darkness, the demon can take the Hide action as a bonus action .
Vrock; Large fiend (demon); chaotic evil; 15; natural armor; 104; 11d10 +44; 40ft., fly 60ft.; 17; 15; 18; 8; 13; 8; Dex +5, Wis +4, Cha +2; ; cold, fire, lightning, bludgeoning, piercing, and slashing from nonmagical weapons; poison; poisoned; darkvision 120ft., passive Perception ll; Abyssal , telepathy 120ft.; 6; 2300; ; Multiattack. The vrock makes two attacks: one with its beak<br>and one with its talons.<br><br>Beak. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) piercing damage.<br><br>Talons. Melee Weapon Attack: +6 to hit, reach 5 ft ., one target. Hit: 14 (2d10 + 3) slashing damage.<br><br>Spores (Recharge 6). A 15-foot-radius cloud of toxic spores extends out from the vrock. The spores spread around corners. Each creature in that area must succeed on a DC 14 Constitution saving throw or become poisoned. While poisoned in this way, a target takes 5 (1d10) poison damage at the start of each of its turns. A target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success . Emptying a vial of holy water on the target also ends the effect on it.<br><br>Stunning Screech (1fDay). The vrock emits a horrific screech . Each creature within 20 feet of it that can hear it and that isn't a demon must succeed on a DC 14 Constitution saving throw or be stunned until the end of the vrock's next turn .; ; Magic Resistance. The vrock has advantage on saving throws against spells and other magical effects.
Yochlol; Medium fiend (demon, shapechanger); chaotic evil; 15; natural armor; 136; 16d8 + 64; 30ft., climb 30ft.; 15; 14; 18; 13; 15; 15; Dex +6, lnt +5, Wis +6, Cha +6; Deception +10, Insight +6; cold, fire, lightning, bludgeoning, pie rcing, and slashing from nonmagical weapons; poison; poisoned; darkvision 120ft., passive Perception 12; Abyssal, Elvish, Undercommon; 10; 5900; ; Multiattack. The yochlol makes two melee attacks.<br><br>Slam (Bite in Spider Form). Melee Weapon Attack: +6 to hit, reach 5 ft. (10ft. in demon form), one target. Hit: 5 (1d6 + 2) bludgeoning (piercing in spider form) damage plus 21 (6d6) poison damage.<br><br>Mist Form. The yochlol transforms into toxic mist or reverts to its true form. Any equipment it is wearing or carrying is also transformed. It reverts to its true form if it dies. While in mist form, the yochlol is incapacitated and can't speak. It has a flying speed of 30 feet, can hover, and can pass through any space that isn't airtight. It has advantage on Strength, Dexterity, and Constitution saving throws, and it is immune to nonmagical damage.<br>While in mist form, the yochlol can enter a creature's space and stop there. Each time that creature starts its turn with the yochlol in its s pace, the creature must succeed on a DC 14 Constitution saving throw or be poisoned until the start of its next turn. While poisoned in this way, the target is incapacitated.; ; Shapechanger. The yochlol can use its action to polymorph into a form that resembles a female drow or giant spider, or back into its true form . Its statistics are the same in each form. Any equipment it is wearing or carrying isn't transformed . It reverts to its true form if it dies.<br><br>Magic Resistance. The yochlol has advantage on saving throws against spells and other magical effects.<br><br>Spider Climb. The yochlol can climb difficult surfaces,<br>including upside down on ceilings, without needing to make an ability check.<br><br>Innate Spellcasting. The yochlol's spellcasting ability is<br>Charisma (spell save DC 14). The yochlol can innately cast the following spells, requiring no material components:<br>At will: detect thoughts, web<br>1/day: dominate person<br><br>Web Walker. The yochlol ignores movement restrictions caused by webbing.
Barbed Devil; Medium Fiend (devil); lawful evil; 15; natural armor; 110; 13d8 + 52; 30ft.; 16; 17; 18; 12; 14; 14; Str +6, Con +7, Wis +5, Cha +5; Deception +5, Insight +5, Perception +8; cold, bludgeoning, piercing, and slashing from non magical weapons that aren't silvered; fire, poison; poisoned; darkvision 120ft., passive Perception 18; Infernal , telepathy 120ft.; 5; 1800; ; Multiattack. The devil makes three melee attacks : one with its tail and two wit h its claws . Alternatively, it can use Hurl Flame twice.<br>Claw. Melee Weapon Attack: +6 to hit, reach 5 ft ., one target. Hit: 6 (1d6 + 3) piercing damage.<br>Tail. Melee Weapon Attack: +6 to hit, reach 5 ft. , one target . Hit: 10 (2d6 + 3) piercing damage.<br>Hurl Flame. Ranged Spell Attack: +5 to hit, range 150 ft., one target. Hit: 10 (3d6) fire damage. If the target is a flammable object that isn't being worn or carried, it al so catches fire.; ; Barbed Hide. At the start of each of its turns, the barbed devil deals 5 (1dl0) piercing damage to any creature grappling it.<br>Devil's Sight. Magical darkness doesn't impede the devil's<br>darkvision .<br>Magic Resistance. The devil has advantage on saving throws against spells and other magical effects.
Bearded Devil; Medium fiend (devil); lawful evil; 13; natural armor; 52; 8d8 + 16; 30ft.; 16; 15; 15; 9; 11; 11; Str +5, Con +4, Wis +2; ; cold, bludgeoning, piercing, and slashing from non magical weapons that aren't silvered; fire, poison; poisoned; darkvision 120ft., passive Perception 10; Infernal, telepathy 120ft.; 3; 700; ; Multiattack. The devil makes two attacks: one with its beard and one with its glaive.<br><br>Beard. Melee Weapon Attack: +5 to hit, reach 5 ft ., one creature. Hit: 6 (1d8 + 2) piercing damage, and the target must succeed on a DC 12 Constitution saving throw or be poisoned for 1 minute. While poisoned in this way, the target can't regain hit points. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.<br><br>Glaive. Melee Weapon Attack: +5 to hit, reach 10ft., one target. Hit: 8 (1dl0 + 3) slashing dam age. If the target is a creature other than an undead or a con struct, it must succeed on a DC 12 Constitution saving throw or lose 5 (1dl0) hit points at the start of each of its turns due to an infernal wound . Each time the devil hits the wounded target wit h this attack, the damage dealt by the wound increases by 5 (ld10). Any creature can take an action to stanch the wound with a successful DC 12 Wisdom (Medicine) check. The wound also closes if the target receives magical healing.; ; Devil's Sight. Magical darkness doesn't impede the devil's<br>darkvision.<br>Magic Resistance. The devil has advantage on saving throws again st spells and other magical effects.<br>Steadfast. The devil can 't be frightened while it can see an allied creature within 30 feet of it.
